City_ID,City,Country,Max Temperature,Current Description,Lat,Lng,Hotel Name
215,Lorengau,PG,82.29,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
217,Likasi,CD,70.74,light rain,-10.9814,26.7333,TABERNACLE DE LIKASI
221,Mayumba,GA,81.9,scattered clouds,-3.432,10.6554,LIKWALE LODGE
222,Kutum,SD,71.67,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
223,Ulladulla,AU,71.87,clear sky,-35.35,150.4667,Sandpiper Motel
225,Alofi,NU,81.95,light rain,-19.0595,-169.9187,Taloa Heights
227,Picos,BR,81.63,light rain,-7.0769,-41.4669,Entre Rios Hotel
228,Cap Malheureux,MU,83.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
229,Bowen,AU,79.47,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
230,Koumac,NC,79.63,overcast clouds,-20.5667,164.2833,Le Monitel
231,Saint-Pierre,RE,82.04,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
239,Port Blair,IN,80.22,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
241,Ngawen,ID,75.54,moderate rain,-7.0032,111.3129,MURAI BATU BIRD FARM BASE'CAMP IBF
245,Tagusao,PH,79.21,overcast clouds,9.1924,117.8141,Green Villa beach resort
248,Caravelas,BR,86.38,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
249,Hualmay,PE,70.77,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
250,Innisfail,AU,76.86,overcast clouds,-17.5333,146.0333,Moondarra Motel
254,São Filipe,CV,72.61,overcast clouds,14.8961,-24.4956,Hotel Xaguate
255,Batemans Bay,AU,77.2,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
256,Noumea,NC,79.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
260,Callaguip,PH,80.2,overcast clouds,18.0714,120.4867,Pangil Beach Resort
269,Cidreira,BR,74.41,broken clouds,-30.1811,-50.2056,Hotel Castelo
270,Vanimo,PG,78.12,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
271,Saint-Joseph,RE,80.96,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
273,Perth,AU,80.6,clear sky,-31.9333,115.8333,Beatty Lodge
277,Pemba,MZ,82.71,light rain,-12.974,40.5178,Guesthouse Samotina
280,Coyhaique,CL,75.81,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
281,Oodweyne,SO,76.06,overcast clouds,9.4092,45.064,Eng Hiirey House
282,Geraldton,AU,77.41,few clouds,-28.7667,114.6,Broadwater Mariner Resort
