City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Souillac,MU,2022-01-25 10:01:05,-20.5167,57.5167,84.36,56,88,15.59
204,Orotukan,RU,2022-01-25 10:05:34,62.2667,151.7,-33.09,100,74,3.2
205,Narsaq,GL,2022-01-25 10:05:35,60.9167,-46.05,23.22,94,100,4.05
206,Wencheng,CN,2022-01-25 10:05:35,33.0559,113.7978,42.89,70,100,4.25
207,Beloha,MG,2022-01-25 10:05:35,-25.1667,45.05,92.88,31,0,9.44
208,Panguna,PG,2022-01-25 10:05:36,-6.3164,155.4848,72.21,96,100,1.52
209,Hovd,MN,2022-01-25 10:05:36,48.0056,91.6419,-1.91,88,19,1.23
210,Taoudenni,ML,2022-01-25 10:05:37,22.6783,-3.9836,72.9,13,100,10.54
211,Chumikan,RU,2022-01-25 10:05:37,54.7183,135.315,-0.29,87,13,15.26
212,Krasnyy Chikoy,RU,2022-01-25 10:05:37,50.3643,108.7512,4.77,95,100,3.33
213,Grindavik,IS,2022-01-25 10:05:38,63.8424,-22.4338,37.87,100,100,43.73
214,San Patricio,US,2022-01-25 10:05:38,28.017,-97.5169,51.89,92,1,7.02
215,Suluktu,KG,2022-01-25 10:05:39,39.9337,69.57,33.28,46,26,3.94
216,Kedrovyy,RU,2022-01-25 10:05:39,56.1667,91.8167,9.01,96,100,3.56
217,Satinka,RU,2022-01-25 10:05:39,52.3792,41.6819,15.8,93,100,4.88
218,Maceio,BR,2022-01-25 10:05:40,-9.6658,-35.7353,80.04,89,20,2.3
219,Chuy,UY,2022-01-25 10:05:40,-33.6971,-53.4616,74.93,92,88,3.29
220,Matagami,CA,2022-01-25 10:05:41,49.7502,-77.6328,-34.74,100,91,3.13
221,Mayo,US,2022-01-25 10:05:41,38.8876,-76.5119,38.98,81,0,5.35
222,Poopo,BO,2022-01-25 10:05:41,-18.3667,-66.9667,45.03,79,100,4.9
223,La Ronge,CA,2022-01-25 10:05:42,55.1001,-105.2842,-28.66,100,32,4.03
224,Saint Anthony,US,2022-01-25 10:05:42,45.0205,-93.218,-7.08,71,0,5.01
225,Whitehaven,GB,2022-01-25 10:05:42,54.549,-3.5841,38.84,96,92,4.0
